Country,Year,Age_Childbirth,Births_outmarr,Gendergap_full,Young_unemployed,Youngadult_unemployed,Infant_mortality_rate,Father_paid_paternity_wks,Fertility_rate_young,Marriage_rate,Mother_paid_paternity_wks,Neonatal_mortality_rate,Gender_gap,Divorce_rate,Fertility_rate,Population
CZE,1994,27,14.5,NA,NA,NA,7.9,0,32.56,5.7,162,4.7,16.5,3,1.44,10.336162
CZE,1995,26.9,15.6,NA,NA,NA,7.7,0,24.91,5.3,162,4.9,16.9,3,1.28,10.330759
CZE,1996,26.8,16.9,NA,NA,NA,6,0,19.99,5.2,162,3.8,17.5,3.2,1.19,10.315353
CZE,1997,26.8,17.8,NA,5,18.2,5.9,0,17.91,5.6,162,3.8,17.5,3.2,1.17,10.303642
CZE,1998,26.6,19,NA,7.2,18.5,5.2,0,16.41,5.3,162,3.2,17.6,3.1,1.16,10.294943
CZE,1999,26.6,20.6,NA,9.7,20.6,4.6,0,15.26,5.2,162,2.9,16.9,2.3,1.13,10.282784
CZE,2000,26.5,21.8,NA,7.9,20.3,4.1,0,13.16,5.4,162,2.5,16.7,2.9,1.14,10.272503
CZE,2018,27.6,48.5,21.9,2.4,8.8,2.6,1,10.75,5.1,63.4,1.6,14.2,2.3,1.71,10.62643
CZE,2019,27.9,48.2,20.4,1.8,8.9,NA,1,9.85,5.1,62.3,NA,13.8,2.3,1.71,10.669324
CZE,2020,28.4,48.5,18.8,2.4,9.6,NA,1,9.18,4.2,74.5,NA,14.3,2,1.71,10.700155
SVN,1990,25.9,24.5,NA,NA,NA,8.4,NA,24.53,4.3,NA,5.1,NA,0.9,1.46,1.99809
SVN,1991,26.1,26.4,NA,NA,NA,8.2,NA,21.07,4.1,NA,5.7,NA,0.9,1.42,2.001768
SVN,1992,26.2,27.7,NA,NA,NA,8.9,NA,19.3,4.6,NA,5.9,NA,1,1.34,1.995832
SVN,1993,26.6,28,NA,NA,NA,6.8,NA,16.1,4.5,NA,4.6,NA,1,1.33,1.990623
SVN,1994,26.8,28.8,NA,NA,NA,6.5,NA,14.26,4.2,NA,4,NA,1,1.32,1.98885
SVN,1995,27.1,29.8,NA,NA,NA,5.5,NA,13.22,4.1,NA,3.1,NA,0.8,1.29,1.987505
SVN,1996,27.3,31.9,NA,NA,NA,4.7,NA,11.02,3.8,NA,3.2,NA,1,1.28,1.991169
SVN,1997,27.5,32.7,NA,NA,NA,5.2,NA,9.17,3.8,NA,3.8,NA,1,1.25,1.986848
SVN,1998,27.8,33.6,NA,NA,NA,5.2,NA,8.51,3.8,NA,3.4,NA,1,1.23,1.982603
SVN,1999,28,35.4,NA,NA,NA,4.5,NA,7.82,3.9,NA,3.2,NA,1,1.21,1.985557
SVN,2000,28.2,37.1,11.33,NA,NA,4.9,NA,7.54,3.6,NA,3.6,8.8,1.1,1.26,1.990272
SVN,2001,28.5,39.4,13.8,NA,NA,4.2,NA,6.7,3.5,NA,3,9.8,1.1,1.21,1.992035
AUT,1990,27.2,23.6,NA,NA,NA,7.8,0,21.24,5.9,60,4.4,NA,2.1,1.46,7.67785
AUT,1991,27.2,24.8,NA,NA,NA,7.5,0,22.82,5.7,112,4.4,NA,2.1,1.51,7.754891
AUT,1992,27.3,25.2,NA,NA,NA,7.5,0,23.09,5.8,112,4.7,NA,2.1,1.51,7.840709
AUT,1993,27.3,26.3,NA,NA,NA,6.5,0,22.39,5.7,112,3.7,NA,2.1,1.5,7.905632
AUT,1994,27.5,26.8,NA,NA,NA,6.3,0,18.91,5.5,112,3.9,19.1,2.1,1.47,7.936118
AUT,1995,27.7,27.4,27.08,NA,NA,5.4,0,17.38,5.4,112,3.4,19.7,2.3,1.42,7.948278
AUT,1996,27.8,28,26.7,NA,NA,5.1,0,15.57,5.3,112,3.4,19.1,2.3,1.45,7.959016
AUT,1997,27.9,28.8,27.2,NA,NA,4.7,26,14.66,5.2,86,3.2,18.8,2.3,1.39,7.968041
AUT,1998,28,29.5,26.6,NA,NA,4.9,26,14.02,4.9,86,3.2,18.5,2.2,1.37,7.976789
AUT,1999,28.2,30.5,27.8,NA,NA,4.4,26,13.11,4.9,86,2.8,18.1,2.3,1.34,7.992323
AUT,2000,28.2,31.3,27.4,NA,NA,4.8,26,13.74,4.9,86,3.3,17.9,2.4,1.36,8.011566
AUT,2001,28.4,33.1,26.4,NA,NA,4.8,26,13.73,4.3,86,3.3,16.7,2.6,1.33,8.042293
AUT,2002,28.6,33.8,26.1,NA,NA,4.1,26,13.82,4.5,86,2.8,15.2,2.5,1.39,8.082121
AUT,2003,28.8,35.3,25.4,NA,NA,4.5,26,13.16,4.6,86,3.1,14.8,2.3,1.38,8.118245
AUT,2004,28.8,35.9,27.7,7.9,13.9,4.5,26,13.69,4.7,86,3.1,13.6,2.4,1.42,8.169441
AUT,2005,29,36.5,29.2,7,13.1,4.2,26,12.84,4.8,86,2.9,12.6,2.4,1.41,8.225278
AUT,2006,29.2,37.2,29.7,6.6,12.9,3.6,26,11.95,4.5,86,2.5,12.7,2.5,1.41,8.267948
AUT,2007,29.4,38.3,30,5.5,11.8,3.7,26,11.2,4.3,86,2.5,12.8,2.5,1.39,8.295189
AUT,2008,29.5,38.8,28.9,5.7,12,3.7,13,11.25,4.2,73,2.7,12,2.4,1.42,8.321541
AUT,2009,29.7,39.3,26.1,6.6,12,3.8,13,10.39,4.3,73,2.5,10.3,2.3,1.4,8.341483
AUT,2010,29.8,40.1,26.2,5.7,13.4,3.9,8.7,10.19,4.5,60,2.7,10.3,2.1,1.44,8.361069
AUT,2011,30,40.4,26.3,5.8,10.9,3.6,8.7,9.1,4.3,60,2.4,10.1,2.1,1.43,8.388534
AUT,2012,30.2,41.5,25.7,4.8,11.7,3.2,8.7,8.63,4.6,60,2.3,9.5,2,1.44,8.426311
AUT,2013,30.3,41.4,24.2,5.1,12.1,3.1,8.7,8.1,4.3,60,2.3,9.1,1.9,1.44,8.47723
AUT,2014,30.4,41.7,23,7.2,12,3,8.7,7.38,4.4,60,2.3,8.3,1.9,1.46,8.543932
AUT,2015,30.6,42.1,23.3,5.7,11.7,3.1,8.7,7.62,5.1,60,2.3,8,1.9,1.49,8.629519
AUT,2016,30.6,42.2,23.2,5.5,13.2,3.1,8.7,7.22,5.1,60,2.3,7.7,1.8,1.53,8.739806
AUT,2017,30.7,42,23.3,5.1,11.8,2.9,8.7,6.8,5.1,60,2,8,1.8,1.52,8.795073
AUT,2018,30.9,41.3,24.3,5.3,12.5,2.7,8.7,5.48,5.3,60,2,8.8,1.8,1.48,8.837707
LUX,2019,32.3,40.4,17.1,NA,NA,NA,28,3.98,3.5,46,NA,8.5,3.1,1.34,0.620003
LUX,2020,32.3,41.6,13.8,NA,NA,NA,28,3.94,2.9,46,NA,6.5,2.3,1.37,0.630413
LUX,2021,NA,NA,17.8,NA,NA,NA,28,NA,NA,46,NA,6.6,NA,NA,0.640064
ESP,1999,30.7,16.3,40.9,12.4,17.9,4.5,0.4,8.37,5.2,16,2.8,31.7,0.9,1.19,40.369667
ESP,2000,30.7,17.7,40.7,8.7,15.2,4.4,0.4,8.81,5.4,16,2.8,30.7,0.9,1.23,40.554387
ESP,2001,30.8,19.7,38.8,7.6,14.6,4,0.4,9.64,5.1,16,2.7,30,1,1.24,40.766049
ESP,2002,30.8,21.7,36.9,7.9,15.7,4.1,0.4,9.86,5.1,16,2.7,28,1,1.25,41.42352
ESP,2003,30.8,23.4,35.3,8.6,15,3.9,0.4,10.56,5,16,2.5,26.7,1.1,1.3,42.196231
ESP,2004,30.9,25.1,34.3,8.3,15.4,3.9,0.4,10.74,5,16,2.6,25.2,1.2,1.31,42.859172
ESP,2005,30.9,26.5,35,11.6,19.1,3.7,0.4,11.35,4.7,16,2.4,23.8,1.7,1.33,43.662613
ESP,2006,30.9,28.4,34.2,10.9,16.5,3.5,0.4,12,4.5,16,2.3,22.7,2.9,1.36,44.360521
ESP,2007,30.8,30.2,32.3,11.7,16.9,3.4,2.1,12.83,4.4,16,2.3,21.3,2.8,1.38,45.236004
ESP,2008,30.8,33.2,27.7,11.2,19,3.3,2.1,13.28,4.2,16,2.1,18.2,2.4,1.45,45.983169
ESP,2009,31,34.5,20,14.2,25.9,3.2,2.1,11.83,3.7,16,2.1,13.5,2.1,1.38,46.36755
ESP,2010,31.2,35.5,20,13.5,27,3.2,2.1,10.61,3.6,16,2.1,12.2,2.2,1.37,46.562483
ESP,2011,31.4,37.4,18.7,12.5,28.9,3.1,2.1,9.5,3.4,16,2.1,10.9,2.2,1.34,46.736257
ESP,2012,31.6,39,15.5,11.8,30.6,3.1,2.1,8.99,3.5,16,2.1,9.3,2.2,1.32,46.766403
ESP,2013,31.7,40.9,15.9,11.2,32.4,2.7,2.1,8.38,3.3,16,1.9,9.1,2,1.27,46.593236
ESP,2014,31.8,42.5,18.4,9.7,29,2.8,2.1,8.08,3.4,16,2.1,9.6,2.2,1.32,46.455123
ESP,2015,31.9,44.5,19.8,9.1,27.2,2.7,2.1,7.72,3.6,16,1.8,10.6,2.1,1.33,46.410149
ESP,2016,32,45.9,20,8.7,25.5,2.7,2.1,7.34,3.7,16,1.9,10.7,2.1,1.34,46.449874
ESP,2017,32.1,46.8,20.1,8.3,23.2,2.7,4.3,7.03,3.7,16,1.9,11.1,2.1,1.31,46.532869
ESP,2018,32.2,47.3,20.4,8.7,22,2.7,4.3,6.22,3.5,16,1.9,11.2,2,1.26,46.728814
CHE,2019,32.1,26.5,27.3,4.3,8.1,NA,2,1.97,4.5,14,NA,8.2,2,1.48,8.57528
CHE,2020,32.2,27.7,26.2,5.3,8.4,NA,2,1.65,4.1,14,NA,8,1.9,1.46,8.638169
FRA,2020,30.8,62.2,13.8,6.6,19,NA,28,6.95,2.2,42,NA,6.3,NA,1.79,67.540257
HUN,1990,25.6,13.1,NA,NA,NA,14.8,0,39.54,6.4,162,10.8,NA,2.4,1.84,10.373987
HUN,1991,25.7,14.1,NA,NA,NA,15.6,0,38.21,5.9,162,11.4,NA,2.4,1.86,10.373398
HUN,1992,25.8,15.6,NA,NA,NA,14.1,0,35.82,5.5,160,10.2,11.7,2.1,1.77,10.369339
HUN,1993,26,17.6,NA,NA,NA,12.5,0,34.27,5.2,160,8.6,10.7,2.2,1.69,10.357518
HUN,1994,26.2,19.4,NA,NA,NA,11.5,0,33.82,5.2,160,7.9,11.8,2.3,1.64,10.343359
HUN,1995,26.3,20.7,17.9,NA,NA,10.7,0,31.42,5.2,160,7.3,14.3,2.4,1.57,10.328967
HUN,1996,26.5,22.6,18.4,NA,NA,10.9,0,29.34,4.7,160,7.3,14.7,2.2,1.46,10.311235
HUN,1997,26.6,25,18.6,8.9,29.2,9.9,0,27.29,4.6,160,7,14.8,2.4,1.38,10.290475
HUN,1998,26.8,26.6,18.4,11.8,27.6,9.7,0,25.55,4.4,160,6.3,13,2.5,1.33,10.266571
HUN,1999,27,28,18.9,11.6,23.6,8.4,0,23.18,4.4,160,5.6,13.3,2.5,1.29,10.237527
CHE,2021,NA,NA,27.6,NA,NA,NA,2,NA,NA,14,NA,7.7,NA,1.51,8.704542
FRA,1995,NA,NA,24.2,NA,NA,4.9,0,NA,4.4,16,3,14.5,2.1,1.71,59.383991
FRA,1996,NA,NA,23.6,NA,NA,5,0,NA,4.8,16,3,14.3,2,1.73,59.589289
FRA,1997,NA,NA,22.8,6.8,22.1,4.9,0,NA,4.9,16,3.8,14.1,2,1.73,59.795263
FRA,1998,29.3,41.7,23.5,6.2,20.5,4.8,0,10.49,4.6,16,3.1,13.6,2,1.76,60.011008
FRA,1999,29.3,42.7,23.1,7.3,21.2,4.4,0,11.31,4.9,16,2.8,13.3,2,1.79,60.315406
FRA,2000,29.3,43.6,22.7,7,17.6,4.5,0,12.28,5,16,2.9,13.3,1.9,1.87,60.72478
NLD,1990,29.3,11.4,38.83,NA,NA,7.1,0,8.29,6.5,16,4.8,28.2,1.9,1.62,14.95151
NLD,1991,29.5,12,37.43,NA,NA,6.5,0,8.25,6.4,16,4.6,26.7,1.9,1.61,15.069799
NLD,1992,29.7,12.4,37.95,NA,NA,6.3,0,7.67,6.2,16,4.4,25.3,2,1.59,15.184163
NLD,1993,29.8,13.1,36.82,NA,NA,6.3,0,7.2,5.8,16,4.5,23.2,2,1.57,15.290368
NLD,1994,29.9,14.3,36.45,NA,NA,5.6,0,6.88,5.4,16,4,22.3,2.4,1.57,15.382834
NLD,1995,30,15.5,39.1,NA,NA,5.5,0,5.85,5.3,16,3.8,22.1,2.2,1.53,15.459004
NLD,1996,30.2,17,39.2,NA,NA,5.7,0,5.56,5.5,16,4.2,21.9,2.2,1.53,15.5305
NLD,1997,30.2,19.2,39.5,2.8,7.1,5,0,6.04,5.4,16,3.7,20.7,2.2,1.56,15.61065
NLD,1998,30.3,20.8,37.9,2.7,7.5,5.2,0,6.27,5.5,16,3.8,20.5,2.1,1.63,15.707205
NLD,1999,30.3,22.7,38.1,3,6.7,5.2,0,6.74,5.7,16,4,19.2,2.1,1.65,15.812085
NLD,2019,31.6,52.4,25.8,3.5,7.4,NA,1,2.45,3.7,16,NA,8.1,1.7,1.57,17.344876
NLD,2020,31.7,53.5,23.5,3.9,8.2,NA,1,2.35,2.9,16,NA,7.7,1.7,1.55,17.4415
AUT,2019,31,40.6,24.3,6.6,10.9,NA,8.7,5.21,5.2,60,NA,8.8,1.8,1.46,8.877637
AUT,2020,31,41.2,21.9,5.7,13.8,NA,13,5.02,4.4,60,NA,8.2,1.7,1.44,8.916845
ESP,1990,28.9,9.6,44.79,NA,NA,7.6,0.4,11.78,5.7,16,5,40.1,0.6,1.36,38.860827
ESP,1991,29,10,43.15,NA,NA,7.2,0.4,10.83,5.6,16,4.6,38.8,0.7,1.33,38.941622
ESP,1992,29.3,10.5,40.61,NA,NA,7.1,0.4,9.88,5.6,16,4.6,36,0.7,1.32,39.14794
ESP,1993,29.5,10.8,37.42,NA,NA,6.7,0.4,8.97,5.1,16,4.1,32.9,0.7,1.27,39.356082
ESP,1994,29.7,10.8,36.31,NA,NA,6,0.4,8.07,5.1,16,3.9,31.8,0.8,1.2,39.547353
ESP,1995,30,11.1,37.9,NA,NA,5.5,0.4,7.51,5.1,16,3.5,31.5,0.8,1.17,39.718895
ESP,1996,30.2,11.7,37.7,NA,NA,5.5,0.4,7.24,4.9,16,3.5,30.9,0.8,1.16,39.884246
ESP,1997,30.4,13.1,38.4,14.2,22.4,5,0.4,7.59,5,16,3.2,30.9,0.9,1.18,40.049974
ESP,1998,30.6,14.5,39.7,12.8,20.3,4.9,0.4,7.67,5.2,16,3,31.8,0.9,1.16,40.214066
ESP,2019,32.3,48.4,19.5,7.8,21.9,NA,8,5.96,3.5,16,NA,11.1,1.9,1.24,47.105358
ESP,2020,32.3,47.6,16,8.1,21.7,NA,12,5.33,1.9,16,NA,10.7,1.6,1.36,47.355685
ESP,2021,NA,NA,18.9,NA,NA,NA,16,NA,NA,16,NA,9.8,NA,NA,47.331545
ESP,2022,NA,NA,NA,NA,NA,NA,16,NA,NA,16,NA,NA,NA,NA,NA
ISL,2001,29.1,63,38.7,NA,NA,2.7,4.3,19.61,5.2,26,1.7,6.9,1.9,1.95,0.28497
FIN,2021,NA,NA,7.8,NA,NA,NA,9,NA,NA,161,NA,2.1,NA,NA,5.54102
FIN,2022,NA,NA,NA,NA,NA,NA,9,NA,NA,161,NA,NA,NA,NA,NA
LTU,1990,25.9,7,NA,NA,NA,10.2,NA,41.18,9.8,NA,6.5,NA,3.4,2.03,3.697838
LTU,1991,25.7,7,NA,NA,NA,14.4,NA,47.02,9.2,NA,10.3,NA,4.1,2.01,3.704134
LTU,1992,25.6,7.9,NA,NA,NA,16.3,NA,48.89,8.1,NA,11.6,NA,3.8,1.97,3.700114
LTU,1993,25.7,9.1,NA,NA,NA,15.7,NA,43.38,6.4,NA,10.3,NA,3.8,1.74,3.682613
LTU,1994,25.5,10.9,NA,NA,NA,14.2,NA,41.67,6.4,NA,9,NA,3,1.57,3.657144
LTU,1995,25.6,12.8,NA,NA,NA,12.5,NA,40.76,6.1,NA,8,NA,2.8,1.55,3.629102
LTU,1996,25.8,14.3,NA,NA,NA,10.1,NA,37.78,5.7,NA,5.9,NA,3.1,1.49,3.601613
LTU,1997,26,16.5,NA,NA,NA,10.3,NA,33.5,5.3,NA,6,NA,3.2,1.47,3.575137
LTU,1998,26.3,18,0.05,NA,NA,9.3,NA,30.02,5.2,NA,4.9,NA,3.3,1.46,3.549331
LTU,1999,26.5,19.8,0.05,NA,NA,8.7,NA,26.46,5.1,NA,4.7,NA,3.2,1.46,3.524237
LTU,2000,26.6,22.6,4.89,NA,NA,8.6,NA,24.7,4.8,NA,4.8,2.6,3.1,1.39,3.499534
LTU,2001,26.8,25.4,3.7,NA,NA,8,NA,21.15,4.5,NA,4.2,2.8,3.2,1.29,3.470817
LTU,2020,30.4,27,1.7,2.3,17.4,NA,4,8.16,5.5,62,NA,1.2,2.7,1.69,2.79489
FRA,1990,NA,NA,26.75,NA,NA,7.3,0,NA,NA,16,3.6,18.6,NA,1.78,56.708826
FRA,1991,NA,NA,25.99,NA,NA,7.3,0,NA,NA,16,3.5,17.8,NA,1.77,58.425681
FRA,1992,NA,NA,25.46,NA,NA,6.8,0,NA,NA,16,3.3,17,NA,1.73,58.711615
FRA,1993,NA,NA,23.99,NA,NA,6.5,0,NA,NA,16,3.1,15.4,NA,1.66,58.961049
FRA,1994,NA,NA,23.26,NA,NA,5.9,0,NA,4.4,16,3.3,14.8,NA,1.66,59.175335
BEL,1990,27.9,11.6,33.44,NA,NA,8,0.6,11.51,6.5,14,4.2,27.3,2,1.62,9.967378
BEL,1991,28,12.6,32.29,NA,NA,8.3,0.6,11.88,6.1,15,4.3,25.7,2.1,1.66,10.004486
BEL,1992,28.1,13.6,31.01,NA,NA,8.2,0.6,11.73,5.8,15,4.2,23.8,2.2,1.65,10.045165
BEL,1993,28.2,14.5,29.23,NA,NA,8,0.6,11.02,5.4,15,NA,22.1,2.1,1.61,10.084479
BEL,1994,28.3,15.8,28.86,NA,NA,7.6,0.6,10.19,5.1,15,NA,21.7,2.2,1.56,10.115601
BEL,1995,28.5,17.3,30.6,NA,NA,6,0.6,9.82,5.1,15,NA,21.5,3.5,1.56,10.136814
BEL,1996,28.5,19.1,29.4,NA,NA,5,0.6,10.08,5,15,NA,21.2,2.8,1.59,10.156641
BEL,2021,NA,NA,16.3,NA,NA,NA,20.3,NA,NA,32.3,NA,6.9,NA,NA,11.552615
BEL,2022,NA,NA,NA,NA,NA,NA,20.3,NA,NA,32.3,NA,NA,NA,NA,NA
FRA,2021,NA,NA,14.5,NA,NA,NA,28,NA,NA,42,NA,5.6,NA,1.8,67.719897
SVK,1990,25.1,7.6,NA,NA,NA,12,0,45.26,7.6,162,8.4,NA,1.7,2.09,5.297774
SVK,1991,25,8.9,NA,NA,NA,13.2,0,49.92,6.2,162,8.9,NA,1.5,2.05,5.283404
SVK,1992,25.1,9.8,NA,NA,NA,12.6,0,47.22,6.4,162,8.3,NA,1.5,1.99,5.306539
SVK,1993,25.3,10.6,NA,NA,NA,10.6,0,45.51,5.8,164,7.5,NA,1.5,1.93,5.324632
SVK,1994,25.4,11.7,18.79,NA,NA,11.2,0,38.13,5.3,164,7.4,14.6,1.6,1.67,5.347413
SVK,1995,25.6,12.6,20.2,NA,NA,11,0,32.27,5.1,164,7.9,14.6,1.7,1.52,5.363676
SVK,1996,25.8,14,21.1,NA,NA,10.2,0,30.32,5.1,164,NA,14.6,1.7,1.47,5.373793
SVK,1997,26,15.1,18.9,16.7,25.5,8.7,0,28.42,5.2,164,NA,14.4,1.7,1.43,5.383233
SVK,1998,26.2,15.3,18.4,18.3,26.3,8.8,0,26.67,5.1,164,NA,14.3,1.7,1.37,5.390866
SVK,1999,26.4,16.9,14.6,20.4,31.4,8.3,0,25.44,5.1,164,5.1,12.2,1.8,1.33,5.395324
SVK,2000,26.6,18.3,13.4,26.3,33.1,8.6,0,23.8,4.8,164,5.1,10.7,1.7,1.29,5.400679
SVK,2018,28.8,40,17.5,6.7,14.7,5,28,26.33,5.7,164,3,12.7,1.8,1.54,5.4467705
SVK,2019,28.8,40.1,17.2,5.5,11.8,5.1,28,26.88,5.4,164,3.2,12,1.7,1.56,5.454147
SVK,2020,28.9,40.7,14.3,5.7,13.8,NA,28,25.83,4.4,164,NA,11.6,1.5,1.53,5.458827
ITA,2020,32.2,33.8,25.7,10.9,27.1,NA,1.4,3.27,1.6,47.7,NA,18.2,1.1,1.24,59.438845
ISL,1991,28,56.4,NA,NA,NA,5.5,0,34.73,4.8,26,2.9,10.7,2.1,2.19,0.257795
ISL,1992,28.5,57.3,NA,NA,NA,4.8,0,26.95,4.8,26,3.7,10.3,2,2.21,0.261053
ISL,1993,28.6,58.3,NA,NA,NA,4.8,0,23.21,4.6,26,2.8,8.3,2,2.22,0.26373
ISL,1994,28.6,59.6,NA,NA,NA,3.4,0,23.28,4.9,26,1.1,7.8,1.8,2.14,0.266021
ISL,1995,28.7,60.9,NA,NA,NA,6.1,0,23.05,4.6,26,4.4,7.2,1.8,2.08,0.267467
ISL,1996,28.8,60.7,NA,NA,NA,3.7,0,21.51,5,26,3,7.8,2,2.12,0.268918
ISL,1997,28.6,65.2,NA,NA,NA,5.5,0,24,5.5,26,3.1,8.6,1.9,2.04,0.27113
ISL,1998,28.7,64,NA,NA,NA,2.6,2,24.71,5.6,26,2.2,7.7,1.8,2.05,0.274049
ISL,1999,28.7,62.4,NA,NA,NA,2.4,2,24.36,5.6,26,1.5,8,1.7,1.99,0.277384
ISL,2000,28.9,65.2,39.18,NA,NA,3,2,22.87,6.3,26,2.5,7.2,1.9,2.08,0.2812
ISL,2002,29.3,62.3,32.6,NA,NA,2.2,8.7,18.48,5.6,26,1.2,5.9,1.8,1.93,0.287516
ISL,2021,NA,NA,20.8,NA,NA,NA,20,NA,NA,32,NA,5.7,NA,NA,0.372523
NOR,1990,28.1,38.6,NA,NA,NA,6.9,0,17.1,5.2,28,4.1,11.4,2.4,1.93,4.241476
NOR,1991,28.3,40.9,NA,NA,NA,6,0,16.73,4.7,28,3.7,10.1,2.4,1.92,4.261738
NOR,1992,28.4,42.9,NA,NA,NA,5.8,0,15.97,4.5,35,3.9,9.7,2.4,1.89,4.286397
NOR,1993,28.6,44.4,NA,NA,NA,5.3,4,14.94,4.5,38,3.6,9.2,2.5,1.86,4.311984
NOR,1994,28.7,45.9,NA,NA,NA,5.3,4,14.44,4.8,38,3.7,9.3,2.5,1.87,4.336614
NOR,1995,28.8,47.6,NA,NA,NA,4.2,4,13.53,5,38,2.8,9.3,2.4,1.87,4.359187
NOR,1996,28.9,48.3,23.32,NA,NA,4.1,4,13.55,5.3,38,2.6,9.6,2.3,1.89,4.381339
ISL,1990,27.6,55.2,NA,NA,NA,5.9,0,37.67,4.5,26,4,NA,1.9,2.31,0.25482
ITA,1994,29.6,7.8,NA,NA,NA,6.4,0,7.26,5.1,47.7,NA,32.4,0.5,1.22,56.8434
POL,1992,26.4,7.2,NA,NA,NA,17.5,0,29.34,5.7,16,13.2,13.8,0.8,1.85,38.1735
POL,1993,26.6,8.2,NA,NA,NA,16.2,0,27.18,5.4,16,12.4,13.8,0.7,1.77,38.221
POL,1994,26.8,9,NA,NA,NA,15.1,0,25.43,5.4,16,11.3,13,0.8,1.72,38.252
POL,1995,26.9,9.5,NA,NA,NA,13.6,0,22.01,5.4,16,10.1,12.9,1,1.55,38.2745
POL,1996,27,10.2,NA,NA,NA,12.2,0,21.08,5.3,16,8.9,13.4,1,1.53,38.289
POL,2021,NA,NA,20.3,NA,NA,NA,2,NA,NA,52,NA,13,NA,NA,38.162224
ITA,2021,NA,NA,27,NA,NA,NA,2,NA,NA,47.7,NA,17.7,NA,NA,59.109666
ITA,2022,NA,NA,NA,NA,NA,NA,2,NA,NA,47.7,NA,NA,NA,NA,NA
NOR,2021,NA,NA,13.7,NA,NA,NA,15,NA,NA,86,NA,3.9,NA,NA,5.40832
DNK,2021,NA,NA,16,NA,NA,NA,2,NA,NA,50,NA,5.8,NA,NA,5.850189
POL,1990,26.2,6.2,NA,NA,NA,19.4,0,31.6,6.7,16,15,NA,1.1,1.99,38.0305
POL,1991,26.3,6.6,NA,NA,NA,18.2,0,32.24,6.1,16,13.9,NA,0.9,1.98,38.1085
SVN,2021,NA,NA,9.9,NA,NA,NA,4.3,NA,NA,52.1,NA,6.4,NA,NA,2.107007
GBR,2021,NA,51.3,NA,NA,NA,NA,2,NA,NA,39,NA,6.5,NA,NA,67.350695
GBR,2022,NA,NA,NA,NA,NA,NA,2,NA,NA,39,NA,NA,NA,NA,NA
IRL,2021,NA,NA,24,NA,NA,NA,7,NA,NA,31,NA,8.6,NA,NA,5.01146
IRL,2022,NA,NA,NA,NA,NA,NA,7,NA,NA,31,NA,NA,NA,NA,NA
HUN,2021,NA,NA,17.5,NA,NA,NA,1,NA,NA,160,NA,9.7,NA,NA,9.709893
HUN,2022,NA,NA,NA,NA,NA,NA,1,NA,NA,160,NA,NA,NA,NA,NA
CZE,2021,NA,NA,18,NA,NA,NA,1,NA,NA,73.8,NA,14.2,NA,NA,10.50085
PRT,2021,NA,NA,13.1,NA,NA,NA,22.3,NA,NA,30.1,NA,5.1,NA,NA,10.297876
PRT,2022,NA,NA,NA,NA,NA,NA,22.3,NA,NA,30.1,NA,NA,NA,NA,NA
SVK,2021,NA,NA,14.6,NA,NA,NA,28,NA,NA,164,NA,7.7,NA,NA,5.441991
LUX,2022,NA,NA,NA,NA,NA,NA,28,NA,NA,46,NA,NA,NA,NA,NA
LTU,2021,NA,NA,3.7,NA,NA,NA,4,NA,NA,62,NA,1,NA,NA,2.795321
AUT,2021,NA,NA,21.5,NA,NA,NA,13,NA,NA,60,NA,8.6,NA,NA,8.95152
AUT,2022,NA,NA,NA,NA,NA,NA,13,NA,NA,60,NA,NA,NA,NA,NA
NOR,2022,NA,NA,NA,NA,NA,NA,15,NA,NA,86,NA,NA,NA,NA,NA
CZE,2022,NA,NA,NA,NA,NA,NA,2,NA,NA,68.6,NA,NA,NA,NA,NA
FRA,2022,NA,NA,NA,NA,NA,NA,31,NA,NA,42,NA,NA,NA,NA,NA
EST,2021,NA,NA,7.9,NA,NA,NA,4.3,NA,NA,82,NA,3.2,NA,NA,1.330932
POL,2022,NA,NA,NA,NA,NA,NA,2,NA,NA,52,NA,NA,NA,NA,NA
SVK,2022,NA,NA,NA,NA,NA,NA,28,NA,NA,164,NA,NA,NA,NA,NA
DNK,2022,NA,NA,NA,NA,NA,NA,2,NA,NA,50,NA,NA,NA,NA,NA
GRC,2021,NA,NA,25.9,NA,NA,NA,0.4,NA,NA,43,NA,18.2,NA,NA,10.656962
GRC,2022,NA,NA,NA,NA,NA,NA,11.5,NA,NA,51.7,NA,NA,NA,NA,NA
ISL,2022,NA,NA,NA,NA,NA,NA,20,NA,NA,32,NA,NA,NA,NA,NA
NLD,2021,NA,NA,27.3,NA,NA,NA,6,NA,NA,16,NA,7,NA,NA,17.533406
NLD,2022,NA,NA,NA,NA,NA,NA,6,NA,NA,16,NA,NA,NA,NA,NA
CHE,2022,NA,NA,NA,NA,NA,NA,2,NA,NA,14,NA,NA,NA,NA,NA
LVA,2021,NA,NA,3.9,NA,NA,NA,1.4,NA,NA,94,NA,3.9,NA,NA,1.884488
EST,2022,NA,NA,NA,NA,NA,NA,4.3,NA,NA,82.1,NA,NA,NA,NA,NA
SVN,2022,NA,NA,NA,NA,NA,NA,4.3,NA,NA,52.1,NA,NA,NA,NA,NA
LVA,2022,NA,NA,NA,NA,NA,NA,1.4,NA,NA,94,NA,NA,NA,NA,NA
LTU,2022,NA,NA,NA,NA,NA,NA,4,NA,NA,62,NA,NA,NA,NA,NA
